研究課題/領域番号,研究課題名,研究課題名 (英文),教員名,研究代表者,キーワード,研究分野,研究内容,研究内容 (英文)
18K11343,固有値問題の高速高精度解法の研究,Fast and accurate algorithms for solving eigenvalue problems,宮田 考史,"宮田 考史 福岡工業大学, 情報工学部, 准教授 (90581645)",高速高精度アルゴリズム / 固有値問題 / 並列計算 / 計算科学,,"本研究は、固有値問題を解くためのアルゴリズムの研究を行った。
（１）ネットワーク解析に現れる大規模固有値問題を対象に、高速アルゴリズムの開発を行った。並列計算機上で数値実験を行った結果、提案法は高速に精度の良い解が得られた。（２）既存の有力な固有値計算アルゴリズムに対して、その収束特性を解析した。本解析の結果、アルゴリズムの高速性が発揮される条件を明らかにし、アルゴリズムの適切な使用法を示すことができた。（３）大規模な一般化エルミート固有値問題を解くための反復アルゴリズムの開発に取り組んだ。数値実験の結果、既存のアルゴリズムよりも提案法は速い収束性を示し、高速に解を得ることができた。","We study numerical algorithms for solving eigenvalue problems.
(1) Large-scale eigenvalue problems arise in network analysis and are needed to be solved. We develop a fast algorithm for solving the problems. Numerical results on a parallel computer show that our algorithm can compute solutions of the problems faster compared to the existing algorithms. (2) We analyze the convergence property of the existing fast algorithm for solving eigenvalue problems. Our analysis clarifies the point that the algorithm is specialized for computing particular solutions of the problems. This result suggests that the algorithm and the other existing algorithms should be selectively used depending on target solutions. (3) We develop an iterative algorithms for solving large-scale generalized Hermitian eigenvalue problems. Our algorithm shows the faster convergence than the existing algorithms and thus requires lesser computational time."
18K11231,超伝導単一磁束量子回路によるハードウェア乱数生成器とストカスティック演算への応用,Hardware random number generator using superconducting single flux quantum circuits and the application of stochastic logic,小野美 武,"小野美 武 福岡工業大学, 工学部, 准教授 (70312676)",超伝導 / 単一磁束量子回路 / 乱数生成器 / ストカスティック演算,,本研究では、単一磁束量子回路によるストカスティック論理演算のためのハードウェア乱数生成器の提案と集積回路上での動作検証を行った。 ジョセフソン発振を利用した発振器ベースの真性乱数生成器の構成を新規に提案し、Nb/AlOx/Nbジョセフソン接合集積回路を利用した回路の設計・試作・測定を行い、実測での動作検証に成功した。同回路から生成される乱数列を検証し、品質の良い乱数列が得られることを確認した。さらに、提案した回路の安定性を向上させるための回路の改良を実施し、電源電圧変動に対する乱数品質の変動が少ない回路の提案と検証を実施した。,"A hardware random number generator for stochastic logic using superconducting single flux quantum circuits was proposed and demonstrated experimentally on an integrated circuit. A new true random number generator based on a signal generator using Josephson oscillation was proposed. The proposed random number generator was designed, fabricated and measured using Nb/AlOx/Nb Josephson junction integrated technology. The generator was demonstrated experimentally, and it was further confirmed that random numbers generated by this circuit have good qualities. Furthermore, improved design of the random number generator with less variation in random number quality with respect to changes in circuit bias voltage was also proposed and investigated."
18K11230,どこでもAIに向けた省電力SRAMセルアレイ多bit重みベクトル機械学習識別器,Low power multi-bit weight vector operated SRAM cell array machine learning classifier for an era of AI anywhere,山内 寛行,"山内 寛行 福岡工業大学, 情報工学部, 教授 (70425239)",省電力機械学習 / SRAM内機械学習 / メモリ内機械学習 / 量子化機械学習 / １ビット機械学習 / 機械学習識別器 / SRAMセルアレイ機械学習 / 重み量子化アルゴリズム / 入出力セル型 / スケーリング / ミックスドシグナル機械学習 / 機械学習器 / SRAM機械学習器 / 多ビット重み,,重みベクトルWrite用と内積和Read用のポートを分離し、7T-SRAMのRead用1-トランジスタの並列数・パルス幅の値で多bitの各電流値を調整し、ビット線短絡で加算した。この技術により「特徴ベクトル×多bit重みベクトルの内積和を、記憶データの破壊を回避しながら短絡ビット線電流に反映しワード線降圧を不要とし低電圧が可能」となった。量子化アルゴリズムは「特徴ベクトル行ごとに量子化することで、各ワード単位で正規化が可能になり、各bitが偏って1/0に丸められる確率を減らし、多bitの本来の精度を維持できる」ことが確認できた。結果、集団学習」を不要にし、大量のセルアレイを削減できた。,"This research demonstrated that decoupling read-port from write-port is the key to a better stability for the machine learning operation because the product operations between the input vectors and weight value can be isolated form the storage nodes of the SRAM cells. Both (1) the number of multiple parallel connected transistors for the read-port and (2) the pulse width applied to the transistors can be used for the adjustment of amount of the product value without any stability issues. Because BL can be shorten without any stability issues. This removes the requirement for the suppressing WL voltage level, thus lower voltage operation is enabled. New algorithm for binary quantization reduced the instability of the weight learning curve thanks to regularizing the weight variation range.
The weights are regularized within the same WL unit. This reduced the accuracy degradation due to binary quantization error. This eliminated the requirements for the expensive ensemble learning."
18K04672,災害時情報収集のための合成開口レーダによる移動体検出の研究,Study on moving object detection by synthetic aperture radar for disaster  surveillance,近木 祐一郎,"近木 祐一郎 福岡工業大学, 工学部, 教授 (10398109)",合成開口レーダ / 移動体検出 / スプリットビーム / スプリットビーム方式 / クラッタキャンセル / スプリットビームアンテナ / 災害時情報収集,,本研究では、合成開口レーダで移動体検出を行うべく既存のレーダの改修および地上試験による検証実験を展開した。レーダの改修では異なる2方向の後方散乱波を受信できる2系統のスプリットビームアンテナを製作し、スプリットビーム状の放射パターンが実現できたことを確認した。また計画通りにスイッチングシステムを開発して前述のスプリットビームアンテナと組み合わせて、スプリットビームSARへの改修を達成した。地上試験における実機検証では2系統の画像を取得し、移動体物体像のシフト量から移動速度の推定ができたものの、画像強度がスイッチングシステムの損失により低下したため満足な移動体抽出が難しかった。,"In this study, we conducted development of split beam antenna system and verification study by ground tests in order to detect moving objects using synthetic aperture radar. We manufactured the split beam antenna and confirmed that the antenna is capable of receiving backscattered waves in two different directions. In addition, we developed a switching system as we initially planned and combined it with the developed antenna system to convert to split beam SAR. In the actual　verification in the ground test, we could successfully acquire two  images by the split beam antennas, and confirmed  that moving speed could be estimated from the shift amount of the moving object image. However, it was difficult to satisfactorily extract the moving object because the image intensity decreased due to the loss of the switching system."
18K03858,ナノシート複合した誘電エラストマーにより発電効率および耐久性の向上方法の開発,Development of method for increasing generation efficiency and durability of nano-sheet reinforced dielectric elastomer generator,朱 世杰,"朱 世杰 福岡工業大学, 工学部, 教授 (60283032)",誘電エラストマ発電 / 発電エネルギー密度 / 発電効率 / 誘電エラストマ発電機（DEG) / 誘電エラストマ発電機 / 電気エネルギー変換効率 / エラストマーの漏電効果 / 誘電エラストマ / 繰り返し試験 / 純せん断繰り返し試験 / 二次元等軸繰り返し試験 / 誘電エラストマー,,誘電エラストマーデバイスの発電効率および耐久性の向上方法について、純せん断、等二軸などの繰り返しの発電試験とともに、代表的なNeo-Hookeanモデル，Gentモデルを利用して，発電エネルギー密度および発電効率を計算した。解析結果と実験結果の比較をしながら，新しい発電方法を提案した。この「台形」発電スキームは、「三角形」スキームより大きい発電エネルギー密度を獲得した．誘電エラストマー発電機のエネルギー密度は800J/kg，変換効率は30%で最も性能の良い結果となった．「台形」スキームにて，大きな伸張比で放電電圧を高く維持し，収縮速度を速くすることが発電性能の向上に有利であることが分かった．,"Pure shear and equi-biaxial loading modes were used to investigate power generation of dielectric elastomer generators to increase energy density of conversion efficiency. The simulation by Neo-Hookean and Gent models was also conducted to get the optimization of the performance of the generators by comparing with the experimental results. A new scheme for power generator was proposed, which gave the maximum energy density of 800J/kg and conversion efficiency of 30%. The results are the best in world and beyond the expected results when the application was made."
18K03618,トポロジカル相転移に基づくクォークの閉じ込め・ 非閉じ込め相転移の研究,Investigation of confinement-deconfinement transition from topological transition,柏 浩司,"柏 浩司 福岡工業大学, 情報工学部, 准教授 (50612123)",閉じ込め・非閉じ込め相転移 / 有限密度量子色力学 / 虚数化学ポテンシャル,,有限温度・密度における量子色力学（QCD）の閉じ込め・非閉じ込め・相転移について、トポロジカルな観点から研究を行った。具体的には、トポロジカル秩序の観点から有限温度QCDの性質を調べることを目指した。当初目的としていたトポロジカル秩序の有限温度への適用法の一つである Uhlmann 位相の計算の成功には至らなかったが、純虚数化学ポテンシャルを利用したカノニカル・アンサンブルからの解析やパーシシテント・ホモロジーを用いた解析に成功した。これらの手法も理論のトポロジカルな性質を利用しており本研究の重要な成果である。,"We investigated the confinement-deconfinement transition in quantum chromodynamics (QCD) at finite temperature and density from the topological viewpoint. Actually, we tried to calculate the Uhlmann phase which is the extension to apply the topological order to thermal system. The Uhlmann phase was not successfully calculated, but we can investigate the confinement-deconfinement transition from the canonical ensemble constructed by using the pure imaginary chemical potential and also the persistent homology analysis. Both of them are method based on the topological properties of the system and thus these are  important progress in this study."
18K03314,フィンスラー多様体の凸性と測地線の大域的挙動,Convexity and global behavior of geodesics on Finsler manifolds,塩濱 勝博,"塩濱 勝博 福岡工業大学, 付置研究所, 研究員 (20016059)",Finsler metric / non-symmetric distance / geodesic / cut locus / conjugate locus / Christoffel symbols / 非対称距離空間 / 測地線 / クリストッフェル記号 / 二重接束 / 測地線の分岐現象 / 非対称距離構造 / 切断跡 / 凸性 / Busemamnn関数 / 指数写像の正距方位図法 / ミンコフスキー空間 / 非対称距離函数 / 完備フィンスラー多様体 / 正距方位図法 / 凸関数 / アフィン函数 / フィンスラー多様体 / Randers計量 / コンパクト階数１対称空間 / Blaschkeフィンスラー多様体 / 平行性 / 共役跡 / フィンスラー計量 / ランダース計量 / ベアバルト計量,,"n次元(n>1)完備フィンスラー多様体上の点pに於ける指数写像は切断跡の内部で自然に定義出来る．
しかしpの切断跡を超えて曲線が延長されるとき延長された測地線がpに於ける指数写像の逆写像によってどのように接空間にリフトされるかは不明であった．
pの切断跡を交差する曲線に対してpに於ける指数写像によって接空間の中にリフトされる可能性を詳しく調べた．その結果pの接切断跡が多様体の展開として議論出来る事実を発見した．","Let (M,F) be a complete Finsler n-manifold, n>1. We discuss the preimage of a curve c on M under the exponential map at p. If c does not meet the cut locus of p, then it is clearly lifted in the tangent space at p
via the inverse of the exponential map.However it is not possible if c meets the cut locus of p.
We discuss a curve c intersecting the cut locus of p,  where it is conjugate to p. We then develop an idea to extend the exponential map at p beyond the cut locus to p."
18K03229,多変数モジュラー形式の合同、p進的性質の研究,Study of congruences and p-adic properties for modular forms with several variables,菊田 俊幸,"菊田 俊幸 福岡工業大学, 情報工学部, 助教 (60569953)",p進モジュラー形式 / Siegelモジュラー形式 / 法p特異モジュラー形式 / テータ級数 / テータ作用素 / 2次形式 / 基底 / Hermiteモジュラー形式 / 合同 / 特異モジュラー形式 / J. Sturm / 次数付き環 / Fourier係数 / Sturm型の境界 / Siegelモジュラ―形式 / Eisenstein級数,,1. 法pベキのΘ作用素の像ImΘの元の重さ（フィルトレーション）に関する評価式の検討を行い、特別な場合に結果が得られた。2. かなり一般の場合において、法p特異モジュラー形式は全て、テータ級数の一次結合で表されることを示された。レベルや特異階数などによっては、対応するテータ級数のレベルの特定がなされた。3. 基礎体や、重さなどが特別な場合のHermiteモジュラー形式がなす有理整数環上の次数付き代数の具体的構造が決定された。4. 本研究期間以前より学術雑誌に投稿中であった論文で、本研究期間内に学術雑誌に掲載されたものが2件ある。,"1. An evaluation formula for the weight (filtration) of an element of the image ImΘ of the mod p power Θ-operator was studied and results were obtained in some special cases. 2. In a fairly general case, we showed that all mod p singular modular forms are represented by linear combinations of theta series. In the cases of some levels and some singular ranks, the levels of the corresponding theta series were specified. 3. In the case where such as the base field and weights are special, the concrete structure of the graded algebra over the ring of rational integers formed by the Hermite modular forms was determined. 4. There are two papers that were in the process of submission to journals before this research period, but were published in journals during this research period."
18K02923,粒子法によるバーチャルリアリティ医療触診訓練システムの開発,Development of virtual reality palpation training system using particle method,利光 和彦,"利光 和彦 福岡工業大学, 情報工学部, 教授 (10180150)",計算医療工学 / 教育工学 / VR触診 / 粒子法 / 弾性変形 / 医療シミュレータ / MPS / 触診教育システム / 力触覚インターフェース / 粒子法解析 / 遠隔診療 / 触診訓練システム / 力覚センサー / 生体変形 / 仮想現実 / 計算医工学 / 触診 / 力覚センサ,,病変の触診感覚を手指で体験的に学ぶことができるVR触診訓練システムの開発研究を行った．力覚インターフェースとして，新たに人工生体人肌モデルを用い，内部しこりは，形状と硬さが自由に可変できる負圧粒子剛性要素を用いた．触診指の位置は，静電容量式センサ（I-SCAN）およびwebカメラでリアルタイム検出し，コンピュータ上のVRモデルと連動して表示可能である．さらに，大変形弾性解析プログラムとして，粒子法計算プログラムを作成し，有用性を確認した．特に，これまで不明であった応力について，独自の手法によりFEM解析と比較可能とした．開発したシステムは，医学生の触診教育などに有用であることが期待される．,"A VR medical palpation training system is developed to learn through the experience of the touching sensation such as lumps with fingers. A haptic force sensor interface is newly developed, which is consisted of artificial living body human skin model and lumps of a negative pressure particle rigidity element whose shape and hardness can be freely changed. The position of the palpation finger can be detected by an electrostatic capacity pressure sensor (I-SCAN) and a web camera. In addition, the position displayed in conjunction with the VR model on the computer in real time. Furthermore, a large deformation elasticity analysis program based on the particle method is developed. The practical usability is confirmed. In particular, the accuracy of stress can be examined by original method. The developed system is expected to be useful for palpation education of medical students."
18K01869,研究開発人材の政治スキルとイノベーションとの関係に関する研究,Study on the relationship of R&D personnel's political skills and innovation,尹 諒重,"尹 諒重 福岡工業大学, 社会環境学部, 教授 (50585213)",政治スキル / 研究開発人材 / イノベーション / キャリア成功 / 人材マネジメント / 研究開発,,組織の創造性とイノベーションにおいて研究開発人材が果たす重要な役割を考えると、彼らの長期的なパフォーマンスとキャリア成功の決定要因を理解することは重要な研究テーマである。この研究はイノベーションプロセスを社会政治的視点からとらえ、研究開発人材の政治スキルの役割と影響力に焦点を当てる。特に政治スキルの職務資源の獲得、およびキャリア成功との関係を調査した。この研究では、韓国の262人のR＆D担当者からの調査データを分析した。分析結果、政治スキルのキャリア成功に対する直接効果と、職務資源の獲得に媒介された関節効果の統計的有意性が確認できた。,"Given the substantial role played by R&D personnel in organizational creativity and innovation, understanding the determinants of their long-term performance and career success is an important research theme. Based on the socio-political perspective of the innovation process, this study focuses on the role and influence of R&D personnel’s political skills, and investigates the relationship between political skills, job resources, and career successes. By analyzing the survey data from 262 R&D personnel in South Korea, this study examines political skill’s direct and positive effect on career success and the mediating effect job resources between two variables."
18H01969,高速かつ高精度な配座解析を軸とした理論計算が先導する不斉有機触媒の開発,Development of Asymmetric Organic Catalysts Using Accurate and Efficient Conformational Analysis,蒲池 高志,"蒲池 高志 福岡工業大学, 工学部, 教授 (40403951)",有機分子触媒 / 配座解析 / 密度汎関数法 / 不斉合成,,有機分子触媒は有毒な重金属の残留の心配がなく，レアメタルの高騰や枯渇の問題に対応できる理想的な触媒であり，その開発が社会的に求められている．本研究では独自に種々の配座解析法を開発し，有機分子触媒のエナンチオ選択性が発現する原因を明らかにしてきた．独自に開発したConFinderプログラムを利用して，高速かつ高精度な配座解析を実施した．これにより，高い選択性が発現する原因となる特別な配座を解明することが可能で，反応機構の解析や触媒設計のヒントが得られる．分担者の有機分子触媒を開発している実験グループと共同で，エステルの不斉加水分解反応に関する研究を行った．,"Organocatalysts are ideal catalysts that are free from toxic heavy metal residues and can address the issues of rising rare metal prices and depletion. In this study, we have developed a variety of conformational analysis methods to elucidate the causes of enantioselectivity of organocatalysts. We used our own ConFinder program to perform fast and accurate conformational analysis. This program allows us to elucidate the specific conformations responsible for the high selectivity, providing hints for the analysis of reaction mechanisms and the design of catalysts. In collaboration with an experimental group developing organocatalysts, we conducted research on asymmetric hydrolysis reactions of esters."
18H01928,超伝導電力機器の最適構造設計のための磁場中電流輸送特性精密評価,Investigation of in-field current transport properties for design of superconducting power devices,井上 昌睦,"井上 昌睦 福岡工業大学, 工学部, 教授 (80346824)",超伝導 / 高温超伝導線材 / 電界－電流密度特性 / 電流電圧特性 / 臨界電流 / 超伝導線材 / テープ線材 / 磁気顕微鏡 / 磁化特性 / 電界ー電流密度特性 / 磁化測定 / 電界-電流密度特性 / 高温超伝導 / 電流－電圧特性,,希土類系高温超伝導線材の電界－電流密度特性を、パルス通電測定法、直流磁化ヒステリシス測定法、直流磁化緩和測定法を組み合わせた精密計測により、10桁を超える広電界領域に亘り実験的に明らかとすることに成功した。各測定手法間の整合性担保に要する面内臨界電流密度分布の均一性については、本研究課題内で走査型ホール素子磁気顕微鏡の構築を図り評価体制を整備した。,"In this research, we have experimentally clarified the electric field vs. current density characteristics of rare-earth-based high-temperature superconducting wires over a wide electric field range of more than 10 orders of magnitude by precise measurements combining the pulse current measurement method, the DC magnetization hysteresis measurement method, and the DC magnetization relaxation measurement method. In order to ensure the consistency among the measurement methods, we have also constructed a scanning Hall-probe magnetic microscope and confirmed the uniformity of the in-plane critical current density distribution in this research project.
These results will contribute to the unified design of various superconducting devices, and to the improvement of design accuracy. It will also contribute to the development of high-temperature superconducting wires with controlled performance."
17K18300,学生支援体制の改善に向けた要支援学生の早期発見と実務者情報共有システムの開発,Development of screening system and construction of information sharing system for early detection of students who need support,宮本 知加子,"宮本 知加子 福岡工業大学, その他部局等, 特任教員 (00795841)",学生支援 / スクリーニング / UPI / 臨床心理学 / 特別支援 / テキストマイニング,特別支援教育 / 臨床心理学 / 心理学 / 社会科学 / 人文社会系 / 教育学 / 社会科学 / 人文社会系,"本研究の目的は，要支援学生の早期発見を目的とするスクリーニングシステムを開発し，学生生活への適応を促すための実務者間の情報共有体制を構築することであった。
本研究の結果，学生の精神健康度を測るUniversity Personality Inventory（UPI）の60項目の得点を活用し，不適応になった学生をUPIデータから正しく予測できるかに焦点を当てたニューラルネットワーク（NN）を構築し，不適応リスク予測モデルを作成することができた。さらに，この予測モデルを使った情報共有体制について，情報共有の方法やリスクも踏まえ実務者間で検討した。","The purpose of this study was to develop a screening system for the early detection of students in need of support and to build an information sharing structure for practitioners to promote students’ adaption to university life.
In this study, the scores on 60 items of the University Personality Inventory (UPI), a measure of students’ mental health, were used to build a neural network (NN) that focused on accurately predicting maladaptive students from UPI data, and we were able to create a maladaptive risk prediction model. Furthermore, an information sharing structure using this predictive model was examined among clinical psychologists in consideration of the methods of information sharing and their risks."
17K13024,高温熱環境労働者の体調管理に向けた各種生体情報イヤーモニターシステムの開発研究,Development of the Earphone-type Smart Monitor for Healthcare,李 知炯,"李 知炯 福岡工業大学, 情報工学部, 助教 (10735583)",イヤホン / 深部体温 / 外耳道温 / 校正法 / 耳部緑光電容積脈波 / 脈拍数 / 光検出器 / 熱中症 / 超薄膜サーミスタ / 双熱流法 / 光電容積脈波 / フォトダイオード / フォトトランジスタ / 受光面積 / 感度 / 薄膜サーミスタ / 鼓膜温 / 体動アーティファクト / 電磁波ノイズ / 外部環境からの影響 / スマートセンサ情報システム / 情報システム / 生物・生体工学 / 制御工学 / 生体機能利用,生体医工学・生体材料学 / 人間医工学 / 複合領域 / 総合系,近年社会問題化している熱中症は，体調不良により自律性体温調節反応が環境に十分に対応できないことで発生し，死傷者数は年々増え続けている．“熱中症予防”を目指して，実用的なウェアラブル生体情報計測システムの開発研究を行うことを目的とする．具体的な取り組みとして，システムの開発と共に①超薄膜小型の温度センサを組み込んだイヤホンを用いて計測した外耳道内の温度差から周辺環境の温度変化に影響されない高精度の深部体温が算出できる校正法，②走行中でも耳部から高精度の脈拍数が検出できる適切な受光センサの仕様について実験的に検証を行った．本研究の成果は，作業労働者の安全向上及び熱中症予防対策として期待できる．,"Heat stroke occurs because of high external temperatures or excessive physical exertion. The core body temperature (CBT) and heart rate (HR) monitoring using earphone in daily life can be one of the precautions to reduce the risk of heat stroke. Therefore, we developed the practical earphone system for measurable of ear-canal temperature and photoplethysmogram(PPG). First aim is to investigate the new calibration method for calculating CBT using ear-canal temperature. The calibration method based on the dual-heat-flux was derived from the surface temperature in ear-canal and temperature difference between space and surface in ear-canal as well as the ambient temperature of near ear using the developed earphone. Second aim is to investigate the suitable photodetector for high precision detection of HR derived from ear PPG using green light during motion. The signal to noise ratio and amplitude of PPG measured by difference sensitive area and sensitivity of photodetector were compared."
17K12876,未婚者の親による結婚活動と親子関係に関する研究,Matchmaking Activities of Parents of Unmarried Children and Intergenerational Relationships in Japan,田中 久美子,"田中 久美子 福岡工業大学, 社会環境学部, 准教授 (40508503)",親の婚活 / 成人した子と親 / 中期親子関係 / 配偶者選択 / 見合い結婚 / 恋愛技術 / 結婚支援事業 / 仲人の資質 / 社会的親 / 社会的な親子関係 / 仲人親 / ジェンダー / 結婚 / 親子関係,家政・生活学一般 / 生活科学 / 複合領域 / 総合系,未婚の子どもの結婚相手を探す親たちや、親たちから子どもの結婚相手の紹介を依頼された仲人への聞き取り調査を実施し、現状を把握するとともに、配偶者選択における親の関与の変化を整理した。親の子どもの配偶者選択への関与からみえてきたことは、結婚後の生活のために親が経済的条件がよい相手を探していることだけではなく、親が探してくることや、誰かが声をかけてくれるのを待っている未婚者たちがいることである。,"Several parents who have unmarried children are looking for their 　　　children's prospective mates. This research explored the situation by examining the relationship between the parents and children, focusing on the transition from love marriages to arranged marriages, through interviews.
It was found that parents meddled in their children's mate selection not only to secure financial stability after marriage, but also because their single children took a more passive role, expecting their parents to look for their future spouses and waiting to be approached by someone."
17K09146,地域在住高齢者の客観的身体活動・座位行動と要介護認定との関連：8年間の前向き研究,Associations of objectively-measured physical activity and sedentary behavior with incident long-term care and support needs: an 8-year prospective cohort study,楢崎 兼司,"楢崎 兼司 福岡工業大学, 社会環境学部, 教授 (70549477)",要介護予防 / 運動疫学 / 身体活動疫学 / 健康寿命 / 身体活動 / 座位行動,疫学・予防医学 / 社会医学 / 医歯薬学 / 生物系,本研究では，高齢者を対象とする前向き研究を通して，(a)客観的に評価された日常の身体活動および座位行動と要介護認定との関連，および(b)国の身体活動基準を満たす身体活動の実践と要介護認定との関連を明らかにすることを目的とした．(a)に関しては，中高強度身体活動の1日あたりの合計時間は要介護認定と有意に関連しており，その時間が長くなるほど要介護認定を受けるリスクが低くなることが分かった．一方，座位行動と要介護認定との間には有意な関連は認められなかった．(b)に関しては，国の身体活動基準の充足状況を調査したところ，全ての対象者が基準を充足しており，その充足が要介護認定とは関連しないことが分かった．,"This prospective study aimed to examine (a) associations of objectively-measured physical activity and sedentary behavior with incident long-term care and support needs and (b) an association between satisfying a national physical activity guideline and incident long-term care and support needs in community-dwelling older Japanese adults. Regarding (a), longer time of daily moderate-to-vigorous physical activity was found to be associated with lower incidence of long-term care and support needs while sedentary behavior was found to be not associated with the incidence. Regarding (b), it was revealed that all the participants analyzed satisfied the national physical activity guideline, and consequently, satisfying the guideline was not associated with incident long-term care and support needs."
17K06327,活性化アルミ微粒子と水との反応を利用した非常用水素発生源の開発と燃料電池への応用,Development of the emergency multifunctional electric power supply equipped with the hydrogen generator,高原 健爾,"高原 健爾 福岡工業大学, 工学部, 教授 (70292076)",水素発生 / 活性化アルミニウム微粒子 / 燃料電池 / 非常用電源 / 活性化アルミ微粒子 / 弾性波,電力工学・電力変換・電気機器 / 電気電子工学 / 工学 / 理工系,"本研究の目的は，非常時に水さえ供給すれば水素発生を可能とする活性化Al微粒子と水との反応によるオンデマンドな非常電源の実現であった。
100W燃料電池を利用したシステムで，継続的かつオンデマンドに水素を発生するための水素発生制御系の設計・実装を行った。水素発生メカニズムを明らかにするため，微粒子内に存在するナノクラックの進展過程を示す亀裂の進展モデルの構築を行った。さらに，1kW燃料電池用水素発生装置を試作し，実際に1kW燃料電池に応用した。非常時に，水素発生制御システムを駆動する電源がない場合に，手動でオンデマンドな水素発生を可能とするために，手動の注水装置を作製し，動作確認を行った。","The purpose of this study was to realize an on-demand emergency electric power supply using the reaction between activated Al particles and water, which enables hydrogen generation by supplying even water in an emergency.
A hydrogen generation control system to generate hydrogen continuously and on-demand was designed and implemented in a 100W fuel cell system. In order to clarify the mechanism of hydrogen generation, a growth model of nanocracks existing in activated Al particles was constructed. Furthermore, a hydrogen generator for 1kW fuel cells was prototyped and actually applied to 1kW fuel cells. In an emergency, a manual water injection device was constructed and its operation was confirmed in case there was no drive power supply for the hydrogen generation control system."
17K06326,レアアースレスSRGとキャパシタレスAC-AC変換器による可変速風力発電システム,Variable Speed Wind Power Generation System using Capacitor-less AC-AC converter and Rare-earth-less Switched Reluctance Generator,大山 和宏,"大山 和宏 福岡工業大学, 工学部, 教授 (60320321)",可変速風力発電システム / キャパシタレスAC-AC変換器 / スイッチトリラクタンス発電機 / レアアースレス / 風力発電システム / キャパシタレスAC-AC変換機 / 風力,電力工学・電力変換・電気機器 / 電気電子工学 / 工学 / 理工系,"スイッチトリラクタンス発電機（SRG）による可変速風力発電システム（VSWPGS）に適用できるキャパシタレスAC-AC変換器（CLAAC）を提案した。CLAACは、各相コイルが独立しているSRGに適用できる点がマトリックスコンバータと異なる。
CLAACによるSRGの励磁方法とトルク制御方法を提案し、風速変化に対して風車回転数を適切に制御できるVSWPGSの速度制御器を提案した。更にSRGとCLAACを用いるVSWPGSに対して，風車タービン、機械系、SRG、CLAAC、そして制御器の各数学モデルを導出して、それらに基づくシミュレータを構築し、自然風に近い風速変化を与えた場合の性能評価を行った。","A Capacitor-Less AC-AC Converter (CLAAC) for a Variable Speed Wind Power Generation System (VSWPGS) using a Switched Reluctance Generator (SRG) has been proposed. As a new type of converter, the CLAAC was developed based on a matrix converter. The CLAAC can be applied to the SRG with independent coils. The CLAAC undertakes the role of controlling the power between the SRG and an electric system in the VSWPGS. Furthermore, a novel control algorithm for the CLAAC to regulate the rotational speed of the SRG has been proposed. The rotational speed controller based on the proposed control algorithm improves the power generation efficiency of the SRG for changes in wind velocity. The VSWPGS using CLAAC and the SRG is modeled with Matlab/Simulink. The modelling considers a mechanical model including a wind turbine, the SRG, the CLAAC, and a controller. Simulation results for wind velocity changes were shown to verify the performance of the proposed VSWPGS using the CLAAC and SRG."
17K06099,NPD製マイクロボールエンドミルに対するレーザ/プラズマ複合加工技術,Laser Assisted Plasma Etching Technique for Micro Ball-Endmill  Made of Nano-Polycrystalline Diamond,天本 祥文,"天本 祥文 福岡工業大学, 工学部, 准教授 (00505670)",超精密加工 / レーザ加工 / イオンエッチング / ナノ多結晶ダイヤモンド / 切削工具 / レーザー加工 / ナノ秒パルスファイバーレーザ / フェムト秒パルスレーザ / マイクロボールエンドミル,生産工学・加工学 / 機械工学 / 工学 / 理工系,刃先丸み半径が1 nm以下のナノ多結晶ダイヤモンド（NPD）製マイクロボールエンドミルを成形できるレーザ加工技術とドライエッチング技術の開発を行った．自由曲面形状と円錐面と半球面を組み合わせた逃げ面を持つナノ多結晶ダイヤモンド製マイクロボールエンドミルを成形するレーザ加工技術を開発できた． また，レーザ成形したナノ多結晶ダイヤモンド製マイクロボールエンドミルに対してドライエッチングを行うことで，刃先の丸み半径を1nm以下にできることが明らかになった．,"A research project was conducted to develop a laser scanning machining and dry etching techniques that enables to form the Nano-Polycrystalline Diamond (NPD) radius cutting tool with a radius of round edge are less than 1 μm. Micro ball-endmill with a frank face of free formed shape and combined shape made up of conical face and hemispherical face was fabricated conducting laser machining to the NPD. Also, it has been clarified that by performing dry etching to the NPD micro ball-endmill, the radius of the cutting edge can be formed to less than 1 nm."
